Year,Scenario,ImportCost_EURperMWh,ImportCost_EURperKgH2,SolverProblemCode,EuropeanOffshoreSupply_TWh,InternationalImport_TWh,TotalCarbonReduction_Mt,EuropeanOffshoreCarbonContribution_Mt,TotalCost_BnEUR,ImportCost_BnEUR,TopGrossExporter,TopGrossExport_TWh,TopNetExporter,TopNetExport_TWh,IrelandNetExport_TWh,UKNetExport_TWh,IrelandCarbonContribution_Mt,UKCarbonContribution_Mt
2030,Outside option 4.4 EUR/kg-H2,132.0013200132,4.4,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.4 EUR/kg-H2,132.0013200132,4.4,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,61.5599310728901,15.3680835481597,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.4 EUR/kg-H2,132.0013200132,4.4,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,80.5574933316063,8.28887597339842,GB,171.581022175418,GB,162.141022175418,160.72167557564,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 4.5 EUR/kg-H2,135.0013500135,4.5,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.5 EUR/kg-H2,135.0013500135,4.5,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,61.9092056989846,15.7173581742542,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.5 EUR/kg-H2,135.0013500135,4.5,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,80.7458768764563,8.47725951824838,GB,171.581022175418,GB,162.141022175418,160.721675575639,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 4.6 EUR/kg-H2,138.0013800138,4.6,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.6 EUR/kg-H2,138.0013800138,4.6,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,62.2584803250791,16.0666328003488,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.6 EUR/kg-H2,138.0013800138,4.6,0,766.620127791916,62.7938870048385,175.324259766827,150.605003029894,80.9342604213062,8.66564306309835,GB,171.581022175418,GB,162.141022175418,160.721675575639,162.141022175418,32.8782317639766,52.0781623907328
2030,Outside option 4.7 EUR/kg-H2,141.0014100141,4.7,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.7 EUR/kg-H2,141.0014100141,4.7,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,62.6077549511737,16.4159074264433,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
